# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1969,9,235
1969,10,238
1969,11,238
1969,12,221
1970,1,204
1970,2,204
1970,3,204
1970,4,227
1970,5,246
1970,6,238
1970,7,224
1970,8,204
1970,9,227
1970,10,246
1970,11,246
1970,12,238
1971,1,201
1971,2,193
1971,3,164
1971,4,207
1971,5,232
1971,6,195
1971,7,235
1971,8,232
1971,9,232
1971,10,235
1971,11,235
1971,12,224
1972,1,201
1972,2,198
1972,3,190
1972,4,224
1972,5,244
1972,6,246
1972,7,241
1972,8,232
1972,9,229
1972,10,238
1972,11,238
1972,12,161
1973,1,8
1973,2,25
1973,3,210
1973,4,255
1973,5,269
1973,6,272
1973,7,272
1973,8,278
1973,9,272
1973,10,272
1973,11,258
1973,12,246
1974,1,210
1974,2,210
1974,3,221
1974,4,244
1974,5,255
1974,6,261
1974,7,258
1974,8,246
1974,9,218
1974,10,261
1974,11,261
1974,12,249
1975,1,235
1975,2,229
1975,3,227
1975,4,252
1975,5,224
1975,6,215
1975,7,201
1975,8,215
1975,9,252
1975,10,261
1975,11,263
1975,12,255
1976,1,238
1976,2,238
1976,3,246
1976,4,263
1976,5,261
1976,6,261
1976,7,266
1976,8,269
1976,9,269
1976,10,275
1976,11,278
1976,12,269
1977,1,218
1977,2,232
1977,3,249
1977,4,278
1977,5,266
1977,6,266
1977,7,238
1977,8,269
1977,9,266
1977,10,269
1977,11,263
1977,12,252
1978,1,227
1978,2,232
1978,3,246
1978,4,232
1978,5,235
1978,6,229
1978,7,224
1978,8,238
1978,9,272
1978,10,269
1978,11,261
1978,12,261
1979,1,227
1979,2,229
1979,3,249
1979,4,266
1979,5,275
1979,6,272
1979,7,286
1979,8,280
1979,9,269
1979,10,272
1979,11,272
1979,12,263
1980,1,238
1980,2,238
1980,3,244
1980,4,272
1980,5,269
1980,6,266
1980,7,266
1980,8,266
1980,9,269
1980,10,272
1980,11,263
1980,12,249
1981,1,198
1981,2,201
1981,3,215
1981,4,275
1981,5,261
1981,6,272
1981,7,272
1981,8,263
1981,9,263
1981,10,269
1981,11,278
1981,12,263
1982,1,204
1982,2,187
1982,3,181
1982,4,227
1982,5,261
1982,6,269
1982,7,269
1982,8,252
1982,9,266
1982,10,272
1982,11,263
1982,12,258
1983,1,241
1983,2,235
1983,3,184
1983,4,210
1983,5,252
1983,6,263
1983,7,269
1983,8,246
1983,9,246
1983,10,249
1983,11,246
1983,12,249
1984,1,190
1984,2,181
1984,3,198
1984,4,261
1984,5,272
1984,6,261
1984,7,272
1984,8,255
1984,9,255
1984,10,261
1984,11,261
1984,12,249
1985,1,201
1985,2,184
1985,3,176
1985,4,249
1985,5,263
1985,6,249
1985,7,232
1985,8,215
1985,9,229
1985,10,218
1985,11,232
1985,12,224
1986,1,241
1986,2,227
1986,3,227
1986,4,241
1986,5,181
1986,6,204
1986,7,173
1986,8,227
1986,9,238
1986,10,249
1986,11,246
1986,12,238
1987,1,232
1987,2,198
1987,3,215
1987,4,246
1987,5,246
1987,6,235
1987,7,241
1987,8,227
1987,9,249
1987,10,246
1987,11,252
1987,12,241
1988,1,246
1988,2,244
1988,3,238
1988,4,235
1988,5,261
1988,6,258
1988,7,246
1988,8,232
1988,9,232
1988,10,224
1988,11,227
1988,12,232
1989,1,235
1989,2,193
1989,3,235
1989,4,258
1989,5,261
1989,6,252
1989,7,258
1989,8,238
1989,9,255
1989,10,246
1989,11,244
1989,12,235
1990,1,212
1990,2,204
1990,3,212
1990,4,252
1990,5,235
1990,6,249
1990,7,252
1990,8,235
1990,9,246
1990,10,244
1990,11,235
1990,12,241
1991,1,238
1991,2,232
1991,3,241
1991,4,184
1991,5,96
1991,6,210
1991,7,227
1991,8,218
1991,9,244
1991,10,238
1991,11,232
1991,12,184
1992,1,241
1992,2,204
1992,3,224
1992,4,229
1992,5,246
1992,6,244
1992,7,241
1992,8,235
1992,9,244
1992,10,229
1992,11,207
1992,12,229
1993,1,214
1993,2,194
1993,3,190
1993,4,230
1993,5,229
1993,6,226
1993,7,203
1993,8,211
1993,9,221
1993,10,218
1993,11,220
1993,12,216
1994,1,175
1994,2,161
1994,3,156
1994,4,190
1994,5,241
1994,6,227
1994,7,224
1994,8,229
1994,9,241
1994,10,239
1994,11,223
1994,12,250
1995,1,245
1995,2,213
1995,3,232
1995,4,266
1995,5,252
1995,6,250
1995,7,246
1995,8,222
1995,9,162
1995,10,174
1995,11,204
1995,12,158
1996,1,215
1996,2,214
1996,3,257
1996,4,266
1996,5,249
1996,6,248
1996,7,275
1996,8,264
1996,9,270
1996,10,274
1996,11,268
1996,12,266
1997,1,254
1997,2,199
1997,3,234
1997,4,267
1997,5,278
1997,6,276
1997,7,282
1997,8,261
1997,9,283
1997,10,281
1997,11,265
1997,12,268
1998,1,223
1998,2,219
1998,3,248
1998,4,265
1998,5,255
1998,6,260
1998,7,264
1998,8,252
1998,9,264
1998,10,262
1998,11,246
1998,12,240
1999,1,169
1999,2,166
1999,3,213
1999,4,260
1999,5,239
1999,6,189
1999,7,237
1999,8,134
1999,9,110
1999,10,109
1999,11,202
1999,12,208
2000,1,208
2000,2,214
2000,3,214
2000,4,216
2000,5,229
2000,6,225
2000,7,253
2000,8,237
2000,9,247
2000,10,219
2000,11,224
2000,12,202
2001,1,205
2001,2,205
2001,3,220
2001,4,246
2001,5,257
2001,6,250
2001,7,255
2001,8,232
2001,9,218
2001,10,219
2001,11,205
2001,12,215
2002,1,199
2002,2,191
2002,3,214
2002,4,270
2002,5,255
2002,6,243
2002,7,256
2002,8,249
2002,9,264
2002,10,221
2002,11,208
2002,12,202
2003,1,189
2003,2,183
2003,3,200
2003,4,225
2003,5,236
2003,6,223
2003,7,235
2003,8,212
2003,9,229
2003,10,225
2003,11,199
2003,12,200
2004,1,182
2004,2,169
2004,3,206
2004,4,237
2004,5,232
2004,6,230
2004,7,246
2004,8,222
2004,9,233
2004,10,230
2004,11,191
2004,12,208
2005,1,180
2005,2,229
2005,3,256
2005,4,268
2005,5,276
2005,6,254
2005,7,273
2005,8,255
2005,9,224
2005,10,163
2005,11,189
2005,12,155
2006,1,149
2006,2,148
2006,3,151
2006,4,162
2006,5,176
2006,6,170
2006,7,279
2006,8,232
2006,9,249
2006,10,217
2006,11,165
2006,12,172
2007,1,146
2007,2,150
2007,3,160
2007,4,166
2007,5,215
2007,6,246
2007,7,260
2007,8,226
2007,9,252
2007,10,232
2007,11,184
2007,12,208
2008,1,206
2008,2,220
2008,3,242
2008,4,237
2008,5,254
2008,6,261
2008,7,269
2008,8,235
2008,9,248
2008,10,240
2008,11,221
2008,12,229
2009,1,213
2009,2,217
2009,3,231
2009,4,207
2009,5,222
2009,6,233
2009,7,235
2009,8,218
2009,9,248
2009,10,233
2009,11,218
2009,12,238
2010,1,212
2010,2,201
2010,3,223
2010,4,224
2010,5,234
2010,6,183
2010,7,243
2010,8,213
2010,9,203
2010,10,213
2010,11,180
2010,12,215
2011,1,211
2011,2,212
2011,3,232
2011,4,236
2011,5,239
2011,6,243
2011,7,258
2011,8,224
2011,9,250
2011,10,250
2011,11,223
2011,12,259
2012,1,239
2012,2,234
2012,3,239
2012,4,255
2012,5,259
2012,6,253
2012,7,254
2012,8,217
2012,9,224
2012,10,164
2012,11,151
2012,12,179
2013,1,193
2013,2,179
2013,3,203
2013,4,226
2013,5,237
2013,6,204
2013,7,171
2013,8,135
2013,9,101
2013,10,217
2013,11,212
2013,12,156
2014,1,182
2014,2,191
2014,3,229
2014,4,240
2014,5,140
2014,6,150
2014,7,250
2014,8,250
2014,9,270
2014,10,260
2014,11,230
2014,12,256
2015,1,190
2015,2,190
2015,3,240
2015,4,250
2015,5,260
2015,6,240
2015,7,240
2015,8,240
2015,9,270
2015,10,260
2015,11,230
2015,12,250
2016,1,200
2016,2,190
2016,3,220
2016,4,250
2016,5,260
2016,6,230
2016,7,260
2016,8,240
2016,9,240
2016,10,260
2016,11,150
2016,12,170
2017,1,140
2017,2,150
2017,3,140
2017,4,160
2017,5,120
2017,6,170
2017,7,150
2017,8,170
2017,9,140
2017,10,170
2017,11,150
2017,12,170
2018,1,160
2018,2,150
2018,3,170
2018,4,170
2018,5,180
2018,6,180
2018,7,150
2018,8,180
2018,9,190
2018,10,160
2018,11,140
2018,12,160
2019,1,150
2019,2,150
2019,3,160
2019,4,160
2019,5,170
2019,6,160
2019,7,180
2019,8,190
2019,9,250
2019,10,230
2019,11,260
2019,12,150
2020,1,210
2020,2,210
2020,3,220
2020,4,270
2020,5,270
2020,6,240
2020,7,270
2020,8,250
2020,9,260
2020,10,270
2020,11,260
2020,12,270
2021,1,198
2021,2,200
2021,3,250
2021,4,270
2021,5,260
2021,6,240
2021,7,270
2021,8,230
2021,9,210
2021,10,250
2021,11,250
2021,12,230
2022,1,198
2022,2,198
2022,3,198
2022,4,198
2022,5,198
2022,6,198
2022,7,198
2022,8,198
2022,9,198
2022,10,198
2022,11,198
2022,12,198
