Mean,SD,2.5%,25%,50%,75%,97.5%,n.eff
clairDStore[20],-27.4438299876936,52.0530229297442,-119.634850498085,-69.3400757031321,-38.215609126601,19.2479879725538,58.2675502607038,23.5440781913847
clairDStore[21],70.5539593987997,60.6554287792647,-48.8686428539599,22.8340564821346,81.7893415133663,123.506030766877,159.402919732511,9.38245678046855
clairDStore[22],-110.646050254984,37.3335645930545,-172.825442116572,-138.427044711324,-113.888872363494,-85.9813600048158,-29.2494590876247,11.334706058737
clairDStore[23],31.2835384666215,35.8814706715146,-40.5652943158347,10.2680145705844,27.1103445350941,52.8264051632505,103.958301908651,21.3885967346532
clairDStore[24],86.5531552507505,28.9437432512411,38.4311010483329,62.3473636467252,85.4459896040607,109.330952502464,141.774456158836,17.0716718742598
clairDStore[25],-21.9195037431585,49.372911579125,-104.141437496025,-66.3283803104024,-20.5529910544364,19.3659737167334,61.8943079333777,19.5138118510554
clairDStore[26],-52.1731645534003,42.8631571024144,-130.629089125283,-83.8206991607197,-53.7298911760139,-19.6972790511326,30.9146888206168,15.8755658826719
clairDStore[27],129.655322526677,38.4410443064384,54.0997824648647,97.0313191968446,133.936475939812,159.616027324087,202.619692195454,10.8857288321079
clairDStore[28],68.2826538710397,30.118022212917,0.026962682502452,47.1800861790992,71.8123568938287,90.6951279532687,118.834583547736,14.6400555538467
clairDStore[29],-21.7476511865496,58.9649620485621,-130.872049233101,-73.024642586132,-8.92991027807166,23.5600711048999,75.9661919986617,15.1421114902111
clairDStore[30],-62.7202580592469,59.9314401819812,-135.43690085878,-109.952637470087,-86.6922323584336,-9.40455443422418,62.8447975315065,26.6227480602134
clairDStore[31],59.7068458503109,29.4752548710497,11.8968525982479,36.2522159807958,56.7721843520384,80.527601063286,117.630449154735,18.0502421970826
clairDStore[32],-155.981316761505,51.84614610312,-248.237118948046,-197.712011219386,-168.047063650125,-109.148536191448,-70.5357017669596,22.8072096784837
clairDStore[33],107.383522438133,60.5208998191918,-12.2083445452,60.2961072768246,118.008415718143,159.917528588242,195.394508332711,8.40982141801677
clairDStore[34],-56.9255935867341,37.1711320618151,-118.425417738843,-84.9409757749819,-60.3198877542644,-32.6100913961662,24.434247360615,11.9450519551991
clairDStore[35],9.86015346034791,35.8501445064314,-62.6336978810156,-11.354206068192,5.64883657979792,31.1703274061245,81.5445255921776,19.743076375535
clairDStore[36],127.91812595662,28.8550959889847,81.0598926676991,103.99322270132,126.309967864075,151.259301837297,183.212001426686,15.0745825811741
clairDStore[37],-86.1003261590876,49.2957812405052,-168.174286318043,-130.709351794933,-84.5149172127778,-44.61542045532,-1.92408084656616,15.3978240777268
clairDStore[38],-19.0139898291442,42.6927702617224,-96.7554718734873,-50.2751608681825,-20.7431505304664,14.223509922155,64.1741901567708,11.586341407414
clairDStore[39],125.473778857244,38.5008360276564,49.5171648517215,92.2780147895392,130.072348221343,154.986717600875,198.75124620186,9.91392082033113
clairDStore[40],119.640946598829,30.1261103201119,51.9852837725446,98.2324829566266,123.705903051458,142.384440512771,170.821563192556,16.9129356444083
clairDStore[41],23.8665944858377,59.061808714368,-85.0275008233105,-27.3481679473825,36.6834807098913,68.9923345735272,120.700990588919,14.711072983364
clairDStore[42],-79.7791374443664,59.9562991696125,-152.948069921412,-127.19632767739,-103.817080049102,-26.9270396352759,46.1010693856278,22.5753133101275
