# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1989,1,240
1989,2,190
1989,3,240
1989,4,260
1989,5,260
1989,6,250
1989,7,260
1989,8,240
1989,9,260
1989,10,250
1989,11,240
1989,12,240
1990,1,210
1990,2,200
1990,3,210
1990,4,250
1990,5,240
1990,6,250
1990,7,250
1990,8,240
1990,9,250
1990,10,240
1990,11,240
1990,12,240
1991,1,240
1991,2,230
1991,3,240
1991,4,180
1991,5,100
1991,6,210
1991,7,230
1991,8,220
1991,9,240
1991,10,240
1991,11,230
1991,12,180
1992,1,240
1992,2,200
1992,3,220
1992,4,230
1992,5,250
1992,6,240
1992,7,240
1992,8,240
1992,9,240
1992,10,230
1992,11,210
1992,12,230
1993,1,210
1993,2,190
1993,3,190
1993,4,230
1993,5,230
1993,6,230
1993,7,200
1993,8,210
1993,9,220
1993,10,220
1993,11,220
1993,12,220
1994,1,180
1994,2,160
1994,3,160
1994,4,190
1994,5,240
1994,6,230
1994,7,220
1994,8,230
1994,9,240
1994,10,240
1994,11,220
1994,12,250
1995,1,240
1995,2,210
1995,3,230
1995,4,270
1995,5,250
1995,6,250
1995,7,250
1995,8,220
1995,9,160
1995,10,170
1995,11,200
1995,12,160
1996,1,220
1996,2,210
1996,3,260
1996,4,270
1996,5,250
1996,6,250
1996,7,280
1996,8,260
1996,9,270
1996,10,270
1996,11,270
1996,12,270
1997,1,250
1997,2,200
1997,3,230
1997,4,270
1997,5,280
1997,6,280
1997,7,280
1997,8,260
1997,9,280
1997,10,280
1997,11,260
1997,12,270
1998,1,220
1998,2,220
1998,3,250
1998,4,260
1998,5,260
1998,6,260
1998,7,260
1998,8,250
1998,9,260
1998,10,260
1998,11,250
1998,12,240
1999,1,170
1999,2,170
1999,3,210
1999,4,260
1999,5,240
1999,6,190
1999,7,240
1999,8,130
1999,9,110
1999,10,110
1999,11,200
1999,12,210
2000,1,210
2000,2,210
2000,3,210
2000,4,220
2000,5,230
2000,6,220
2000,7,250
2000,8,240
2000,9,250
2000,10,220
2000,11,220
2000,12,200
2001,1,200
2001,2,200
2001,3,220
2001,4,250
2001,5,260
2001,6,250
2001,7,260
2001,8,230
2001,9,220
2001,10,220
2001,11,200
2001,12,220
2002,1,200
2002,2,190
2002,3,210
2002,4,270
2002,5,260
2002,6,240
2002,7,260
2002,8,250
2002,9,260
2002,10,220
2002,11,210
2002,12,200
2003,1,190
2003,2,180
2003,3,200
2003,4,220
2003,5,240
2003,6,220
2003,7,240
2003,8,210
2003,9,230
2003,10,220
2003,11,200
2003,12,200
2004,1,180
2004,2,170
2004,3,210
2004,4,240
2004,5,230
2004,6,230
2004,7,250
2004,8,220
2004,9,230
2004,10,230
2004,11,190
2004,12,210
2005,1,180
2005,2,230
2005,3,260
2005,4,270
2005,5,280
2005,6,250
2005,7,270
2005,8,260
2005,9,220
2005,10,160
2005,11,190
2005,12,160
2006,1,150
2006,2,150
2006,3,150
2006,4,160
2006,5,180
2006,6,170
2006,7,280
2006,8,230
2006,9,250
2006,10,220
2006,11,160
2006,12,170
2007,1,150
2007,2,150
2007,3,160
2007,4,170
2007,5,220
2007,6,250
2007,7,260
2007,8,230
2007,9,250
2007,10,230
2007,11,180
2007,12,210
2008,1,210
2008,2,220
2008,3,240
2008,4,240
2008,5,250
2008,6,260
2008,7,260
2008,8,240
2008,9,250
2008,10,240
2008,11,220
2008,12,230
2009,1,210
2009,2,220
2009,3,230
2009,4,210
2009,5,220
2009,6,230
2009,7,240
2009,8,220
2009,9,250
2009,10,230
2009,11,220
2009,12,240
2010,1,210
