# St.Lawrence River Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2024-01-11 11:03:24 by JKP
#
"Year","Month","St.Lawrence(SFD+ADVM)","St.Lawrence (Coordinated)"
1930,7,7900,7900
1930,8,7530,7530
1930,9,7220,7220
1930,10,6850,6850
1930,11,6540,6540
1930,12,6290,6290
1931,1,6060,6060
1931,2,5800,5800
1931,3,5800,5800
1931,4,6120,6120
1931,5,6200,6200
1931,6,6340,6340
1931,7,6260,6260
1931,8,6030,6030
1931,9,5860,5860
1931,10,5690,5690
1931,11,5580,5580
1931,12,5490,5490
1932,1,5780,5780
1932,2,6120,6120
1932,3,6200,6200
1932,4,6600,6600
1932,5,6800,6800
1932,6,6710,6710
1932,7,6650,6650
1932,8,6480,6480
1932,9,6120,6120
1932,10,5890,5890
1932,11,5780,5780
1932,12,5750,5750
1933,1,5780,5780
1933,2,5610,5610
1933,3,5580,5580
1933,4,6000,6000
1933,5,6290,6290
1933,6,6340,6340
1933,7,6140,6140
1933,8,5890,5890
1933,9,5720,5720
1933,10,5470,5470
1933,11,5210,5210
1933,12,5070,5070
1934,1,4790,4790
1934,2,4900,4900
1934,3,5180,5180
1934,4,5750,5750
1934,5,5830,5830
1934,6,5720,5720
1934,7,5520,5520
1934,8,5300,5300
1934,9,5100,5100
1934,10,4960,4960
1934,11,4810,4810
1934,12,4810,4810
1935,1,4700,4700
1935,2,4760,4760
1935,3,5010,5010
1935,4,5300,5300
1935,5,5490,5490
1935,6,5640,5640
1935,7,5720,5720
1935,8,5580,5580
1935,9,5320,5320
1935,10,5180,5180
1935,11,4980,4980
1935,12,4960,4960
1936,1,4790,4790
1936,2,4360,4360
1936,3,5100,5100
1936,4,6170,6170
1936,5,6310,6310
1936,6,6170,6170
1936,7,5970,5970
1936,8,5660,5660
1936,9,5520,5520
1936,10,5470,5470
1936,11,5470,5470
1936,12,5270,5270
1937,1,5610,5610
1937,2,5860,5860
1937,3,5950,5950
1937,4,6140,6140
1937,5,6600,6600
1937,6,6680,6680
1937,7,6710,6710
1937,8,6540,6540
1937,9,6310,6310
1937,10,6060,6060
1937,11,6060,6060
1937,12,5950,5950
1938,1,5550,5550
1938,2,5690,5690
1938,3,5890,5890
1938,4,6600,6600
1938,5,6650,6650
1938,6,6600,6600
1938,7,6480,6480
1938,8,6480,6480
1938,9,6230,6230
1938,10,6090,6090
1938,11,5970,5970
1938,12,5830,5830
1939,1,5580,5580
1939,2,5180,5180
1939,3,5550,5550
1939,4,6510,6510
1939,5,6770,6770
1939,6,6710,6710
1939,7,6650,6650
1939,8,6510,6510
1939,9,6170,6170
1939,10,6000,6000
1939,11,5720,5720
1939,12,5610,5610
1940,1,5320,5320
1940,2,5210,5210
1940,3,5240,5240
1940,4,5950,5950
1940,5,6400,6400
1940,6,6630,6630
1940,7,6630,6630
1940,8,6460,6460
1940,9,6260,6260
1940,10,6030,6030
1940,11,5950,5950
1940,12,5970,5970
1941,1,6090,6090
1941,2,5720,5720
1941,3,5720,5720
1941,4,6460,6460
1941,5,6400,6400
1941,6,6260,6260
1941,7,6120,6120
1941,8,5950,5950
1941,9,5800,5800
1941,10,5640,5640
1941,11,5640,5640
1941,12,5490,5490
1942,1,5470,5470
1942,2,5320,5320
1942,3,5780,5780
1942,4,6370,6370
1942,5,6570,6570
1942,6,6710,6710
1942,7,6680,6680
1942,8,6570,6570
1942,9,6400,6400
1942,10,6260,6260
1942,11,6260,6260
1942,12,6290,6290
1943,1,5920,5920
1943,2,6230,6230
1943,3,6400,6400
1943,4,7280,7280
1943,5,7760,7760
1943,6,8270,8270
1943,7,8130,8130
1943,8,7990,7990
1943,9,7670,7670
1943,10,7250,7250
1943,11,7250,7250
1943,12,7080,7080
1944,1,6650,6650
1944,2,6430,6430
1944,3,6480,6480
1944,4,6850,6850
1944,5,7250,7250
1944,6,7330,7330
1944,7,7360,7360
1944,8,7140,7140
1944,9,6880,6880
1944,10,6630,6630
1944,11,6290,6290
1944,12,6290,6290
1945,1,5520,5520
1945,2,5860,5860
1945,3,6570,6570
1945,4,7250,7250
1945,5,7560,7560
1945,6,7730,7730
1945,7,7670,7670
1945,8,7560,7560
1945,9,7330,7330
1945,10,7590,7590
1945,11,7450,7450
1945,12,7500,7500
1946,1,7360,7360
1946,2,6770,6770
1946,3,7250,7250
1946,4,7450,7450
1946,5,7310,7310
1946,6,7360,7360
1946,7,7250,7250
1946,8,7080,7080
1946,9,6820,6820
1946,10,6680,6680
1946,11,6710,6710
1946,12,6570,6570
1947,1,6430,6430
1947,2,6570,6570
1947,3,6600,6600
1947,4,7280,7280
1947,5,7670,7670
1947,6,8330,8330
1947,7,8380,8380
1947,8,8180,8180
1947,9,7900,7900
1947,10,7500,7500
1947,11,7220,7220
1947,12,7080,7080
1948,1,6340,6340
1948,2,6230,6230
1948,3,6800,6800
1948,4,7760,7760
1948,5,7990,7990
1948,6,8040,8040
1948,7,7870,7870
1948,8,7620,7620
1948,9,7220,7220
1948,10,6910,6910
1948,11,6820,6820
1948,12,6630,6630
1949,1,6600,6600
1949,2,6710,6710
1949,3,6990,6990
1949,4,7190,7190
1949,5,7220,7220
1949,6,7050,7050
1949,7,6820,6820
1949,8,6510,6510
1949,9,6310,6310
1949,10,6120,6120
1949,11,5890,5890
1949,12,5890,5890
1950,1,6230,6230
1950,2,6370,6370
1950,3,6540,6540
1950,4,7330,7330
1950,5,7420,7420
1950,6,7450,7450
1950,7,7280,7280
1950,8,7050,7050
1950,9,6800,6800
1950,10,6650,6650
1950,11,6630,6630
1950,12,6800,6800
1951,1,6880,6880
1951,2,6510,6510
1951,3,7420,7420
1951,4,8040,8040
1951,5,8330,8330
1951,6,8270,8270
1951,7,8270,8270
1951,8,7870,7870
1951,9,7620,7620
1951,10,7280,7280
1951,11,7140,7140
1951,12,7160,7160
1952,1,7310,7310
1952,2,7500,7500
1952,3,7820,7820
1952,4,8330,8330
1952,5,8550,8550
1952,6,8640,8640
1952,7,8410,8410
1952,8,8040,8040
1952,9,7760,7760
1952,10,7480,7480
1952,11,7110,7110
1952,12,7190,7190
1953,1,7190,7190
1953,2,7280,7280
1953,3,7330,7330
1953,4,7700,7700
1953,5,7900,7900
1953,6,8010,8010
1953,7,7820,7820
1953,8,7530,7530
1953,9,7330,7330
1953,10,6940,6940
1953,11,6710,6710
1953,12,6770,6770
1954,1,6460,6460
1954,2,6570,6570
1954,3,7190,7190
1954,4,7560,7560
1954,5,7990,7990
1954,6,7900,7900
1954,7,7670,7670
1954,8,7390,7390
1954,9,7190,7190
1954,10,7160,7160
1954,11,7190,7190
1954,12,7250,7250
1955,1,7360,7360
1955,2,6970,6970
1955,3,7560,7560
1955,4,8180,8180
1955,5,8330,8330
1955,6,8130,8130
1955,7,7820,7820
1955,8,7500,7500
1955,9,7250,7250
1955,10,7190,7190
1955,11,7310,7310
1955,12,7050,7050
1956,1,6740,6740
1956,2,6630,6630
1956,3,6740,6740
1956,4,7280,7280
